,EX_h_e,ASADi,ASPKi,PC,ACSm,ACtm,ADK1m,ALDD2y,CSm,ASPTA,CAT,GLUDy,GLNS,DHORD,ENO,FBA,GAPD,PDHm,PFK,EX_pyr_e,EX_co2_e,EX_glc_D_e,EX_h2o_e,EX_o2_e,PGI,PGK,PGM,PYK,TPI,G3PD1irm,G3PDm,ATPS3m,GHMT2r,GHMT2rm,NADH2_u6cm,GLUSx,GLYCLm,HCO3E,HEX1,HSDxi,HSK,DHORD4,MLTHFtm,NADH2_u6m,MDH,MDHm,CO2t,GLCt1,H2Ot,O2t,PPAm,CITtam,CO2tm,NH4tm,PYRt2m,SERD_L,SERt2m,THFtm,THRA,THRS,ACONTa,ACONTam,MTT,PYRt2,ITACON,ITACONtr,EX_itacon_e
Ylypol_F535_R1_mal_01,6.25026375,12.5005275,12.5005275,75.003165,12.5005275,12.5005275,12.5005275,12.5005275,62.5026375,12.5005275,78.12829688,12.5005275,25.001055,156.2565938,125.005275,62.5026375,125.005275,50.00211,62.5026375,6.25026375,43.75184625,62.5026375,175.007385,78.12829688,62.5026375,125.005275,125.005275,125.005275,62.5026375,125.005275,125.005275,25.001055,12.5005275,6.25026375,37.5015825,25.001055,6.25026375,75.003165,62.5026375,12.5005275,12.5005275,156.2565938,12.5005275,118.7550113,62.5026375,62.5026375,43.75184625,62.5026375,175.007385,78.12829688,12.5005275,18.75079125,56.25237375,6.25026375,50.00211,6.25026375,6.25026375,12.5005275,12.5005275,12.5005275,18.75079125,43.75184625,43.75184625,6.25026375,62.5026375,62.5026375,62.5026375
Ylypol_F535_R2_mal_02,6.9447375,13.889475,13.889475,83.33685,13.889475,13.889475,13.889475,13.889475,69.447375,13.889475,86.80921875,13.889475,27.77895,173.6184375,138.89475,69.447375,138.89475,55.5579,69.447375,6.9447375,48.6131625,69.447375,194.45265,86.80921875,69.447375,138.89475,138.89475,138.89475,69.447375,138.89475,138.89475,27.77895,13.889475,6.9447375,41.668425,27.77895,6.9447375,83.33685,69.447375,13.889475,13.889475,173.6184375,13.889475,131.9500125,69.447375,69.447375,48.6131625,69.447375,194.45265,86.80921875,13.889475,20.8342125,62.5026375,6.9447375,55.5579,6.9447375,6.9447375,13.889475,13.889475,13.889475,20.8342125,48.6131625,48.6131625,6.9447375,69.447375,69.447375,69.447375
Ylypol_F535_R3_mal_03,7.716375,15.43275,15.43275,92.5965,15.43275,15.43275,15.43275,15.43275,77.16375,15.43275,96.4546875,15.43275,30.8655,192.909375,154.3275,77.16375,154.3275,61.731,77.16375,7.716375,54.014625,77.16375,216.0585,96.4546875,77.16375,154.3275,154.3275,154.3275,77.16375,154.3275,154.3275,30.8655,15.43275,7.716375,46.29825,30.8655,7.716375,92.5965,77.16375,15.43275,15.43275,192.909375,15.43275,146.611125,77.16375,77.16375,54.014625,77.16375,216.0585,96.4546875,15.43275,23.149125,69.447375,7.716375,61.731,7.716375,7.716375,15.43275,15.43275,15.43275,23.149125,54.014625,54.014625,7.716375,77.16375,77.16375,77.16375
Ylypol_F570_R1_mal_04,7.22,14.44,14.44,86.64,14.44,14.44,14.44,14.44,72.2,14.44,90.25,14.44,28.88,180.5,144.4,72.2,144.4,57.76,72.2,7.22,50.54,72.2,202.16,90.25,72.2,144.4,144.4,144.4,72.2,144.4,144.4,28.88,14.44,7.22,43.32,28.88,7.22,86.64,72.2,14.44,14.44,180.5,14.44,137.18,72.2,72.2,50.54,72.2,202.16,90.25,14.44,21.66,64.98,7.22,57.76,7.22,7.22,14.44,14.44,14.44,21.66,50.54,50.54,7.22,72.2,72.2,72.2
Ylypol_F570_R2_mal_05,6.579225,13.15845,13.15845,78.9507,13.15845,13.15845,13.15845,13.15845,65.79225,13.15845,82.2403125,13.15845,26.3169,164.480625,131.5845,65.79225,131.5845,52.6338,65.79225,6.579225,46.054575,65.79225,184.2183,82.2403125,65.79225,131.5845,131.5845,131.5845,65.79225,131.5845,131.5845,26.3169,13.15845,6.579225,39.47535,26.3169,6.579225,78.9507,65.79225,13.15845,13.15845,164.480625,13.15845,125.005275,65.79225,65.79225,46.054575,65.79225,184.2183,82.2403125,13.15845,19.737675,59.213025,6.579225,52.6338,6.579225,6.579225,13.15845,13.15845,13.15845,19.737675,46.054575,46.054575,6.579225,65.79225,65.79225,65.79225
Ylypol_F570_R3_mal_06,7.31025,14.6205,14.6205,87.723,14.6205,14.6205,14.6205,14.6205,73.1025,14.6205,91.378125,14.6205,29.241,182.75625,146.205,73.1025,146.205,58.482,73.1025,7.31025,51.17175,73.1025,204.687,91.378125,73.1025,146.205,146.205,146.205,73.1025,146.205,146.205,29.241,14.6205,7.31025,43.8615,29.241,7.31025,87.723,73.1025,14.6205,14.6205,182.75625,14.6205,138.89475,73.1025,73.1025,51.17175,73.1025,204.687,91.378125,14.6205,21.93075,65.79225,7.31025,58.482,7.31025,7.31025,14.6205,14.6205,14.6205,21.93075,51.17175,51.17175,7.31025,73.1025,73.1025,73.1025
Ylypol_F580_R1_mal_07,8.1225,16.245,16.245,97.47,16.245,16.245,16.245,16.245,81.225,16.245,101.53125,16.245,32.49,203.0625,162.45,81.225,162.45,64.98,81.225,8.1225,56.8575,81.225,227.43,101.53125,81.225,162.45,162.45,162.45,81.225,162.45,162.45,32.49,16.245,8.1225,48.735,32.49,8.1225,97.47,81.225,16.245,16.245,203.0625,16.245,154.3275,81.225,81.225,56.8575,81.225,227.43,101.53125,16.245,24.3675,73.1025,8.1225,64.98,8.1225,8.1225,16.245,16.245,16.245,24.3675,56.8575,56.8575,8.1225,81.225,81.225,81.225
Ylypol_F580_R2_mal_08,7.6,15.2,15.2,91.2,15.2,15.2,15.2,15.2,76,15.2,95,15.2,30.4,190,152,76,152,60.8,76,7.6,53.2,76,212.8,95,76,152,152,152,76,152,152,30.4,15.2,7.6,45.6,30.4,7.6,91.2,76,15.2,15.2,190,15.2,144.4,76,76,53.2,76,212.8,95,15.2,22.8,68.4,7.6,60.8,7.6,7.6,15.2,15.2,15.2,22.8,53.2,53.2,7.6,76,76,76
Ylypol_F580_R3_mal_09,6.9255,13.851,13.851,83.106,13.851,13.851,13.851,13.851,69.255,13.851,86.56875,13.851,27.702,173.1375,138.51,69.255,138.51,55.404,69.255,6.9255,48.4785,69.255,193.914,86.56875,69.255,138.51,138.51,138.51,69.255,138.51,138.51,27.702,13.851,6.9255,41.553,27.702,6.9255,83.106,69.255,13.851,13.851,173.1375,13.851,131.5845,69.255,69.255,48.4785,69.255,193.914,86.56875,13.851,20.7765,62.3295,6.9255,55.404,6.9255,6.9255,13.851,13.851,13.851,20.7765,48.4785,48.4785,6.9255,69.255,69.255,69.255
Ylypol_F584_R1_mal_10,7.695,15.39,15.39,92.34,15.39,15.39,15.39,15.39,76.95,15.39,96.1875,15.39,30.78,192.375,153.9,76.95,153.9,61.56,76.95,7.695,53.865,76.95,215.46,96.1875,76.95,153.9,153.9,153.9,76.95,153.9,153.9,30.78,15.39,7.695,46.17,30.78,7.695,92.34,76.95,15.39,15.39,192.375,15.39,146.205,76.95,76.95,53.865,76.95,215.46,96.1875,15.39,23.085,69.255,7.695,61.56,7.695,7.695,15.39,15.39,15.39,23.085,53.865,53.865,7.695,76.95,76.95,76.95
