,fluxes
13BGH,0.0
13BGHe,0.0
ASADi,4.595958188153293
2DDA7Ptm,0.0
2DHPtm,0.0
2OHPH_5tn,0.0
2OMPH_5tm,0.0
2OMPH_5tn,0.0
ASPKi,4.595958188153293
34HPPOR,0.0
34HPPt2m,0.0
34HPPt2p,0.0
13GS,0.0
3C4MOPtm,0.0
3DSPHR,0.0
3HAO,0.0
GLCS2,0.0
SBTD_D2,0.0
3OPHB_5tm,0.0
4ABUTNtm,0.0
4ABUTtm,0.0
4ABZtm,0.0
4H2OGLTtm,0.0
4H2OGLTtp,0.0
4HBZtm,0.0
4HPRO_LTtm,0.0
4HTHRS,0.0
5AOPt2,0.0
5AOPtm,0.0
5MTHFtm,0.0
6PGLter,0.0
8AONNt2,0.0
AABTN,0.0
AASAD1,0.0
TRE6PP,0.0
ABTA,0.0
ABTt,0.0
ABUTDm,0.0
ABUTt2,0.0
TRE6PS,0.0
ACACT1m,0.0
ACACT4p,0.0
ACACT5p,0.0
ACACT6p,0.0
ACACT7p,0.0
ACACT8p,0.0
ACACT9p,0.0
PC,15.74494773519162
ACGAM6PS,0.0
ACGAMPM,0.0
ACGKm,0.0
ACGSm,0.0
ACOTAim,0.0
AGPRim,0.0
ACOAH,0.0
ACOAO4p,0.0
ACOAO5p,0.0
ACOAO6p,0.0
ACOAO7p,0.0
ACOAO8p,0.0
ACOAO9p,0.0
ACOATA,0.0
ACOATAm,0.0
ACONT,0.0
ACONTm,0.0
ARGSL,0.0
ACP1e,0.0
ACRNtm,0.0
ACRNtp,0.0
ARGSSr,0.0
ACSm,4.595958188153293
ACSp,0.0
ACt2r,0.0
ACtm,4.595958188153293
ACtp,0.0
ADCL,0.0
ADCS,0.0
ADEt2,0.0
ADEtm,0.0
ADHAPR_SC,0.0
ADK1,0.0
ADK1m,4.595958188153293
ADK3,0.0
ADK3m,0.0
ADK4,0.0
ADK4m,0.0
ADMDC,0.0
ADNCYC,0.0
ADNK1,0.0
ADNUC,0.0
ADNt2,0.0
ADPT,0.0
CBPS,0.0
ADSL1r,0.0
ADSL2r,0.0
ADSS,0.0
G5SADr,0.0
G5SD2,0.0
AGT,0.0
AHCYStm,0.0
AHCYStn,0.0
AHCi,0.0
AHMMPS,0.0
AHSERL,0.0
GLU5K,0.0
AICART,0.0
AIRCr,0.0
AKGDam,0.0
AKGDbm,0.0
AKGMAL,0.0
AKGt2n,0.0
AKGt2r,0.0
AKP1,0.0
ALASm,0.0
ALATA_L,0.0
ALATA_Lm,0.0
ALATRS,0.0
ALAt2r,0.0
ALCD19y,0.0
ALCD2m,0.0
ALCD2x,0.0
ALDD19x,0.0
ALDD20xm,0.0
ALDD20y,0.0
ALDD20ym,0.0
ALDD2xm,0.0
ALDD2y,4.595958188153293
ALDD2ym,0.0
ALLTAHr,0.0
ALLTNr,0.0
ALLTNti,0.0
ALLTTti,0.0
ALPHNH,0.0
AM6SAD,0.0
AMAOTr,0.0
AMETt2,0.0
AMETtm,0.0
AMETtn,0.0
AMID,0.0
AMID2,0.0
AMID3,0.0
AMPDA,0.0
AMPN,0.0
OCBTi,0.0
ORNTACim,0.0
AP4AHr,0.0
APRAUR,0.0
APRTO2,0.0
ARAB1D1,0.0
ARAB1D2,0.0
ARABR,0.0
ARAB_Dt,0.0
ARAB_Lt,0.0
ARGN,0.0
P5CR,0.0
biomass_carbon_limiting,0.0
biomass_nitrogen_limiting,0.0
ARGTRS,0.0
ARGTRSm,0.0
ARGt2m,0.0
ARGt2r,0.0
ARMT,0.0
CSm,11.148989547038326
ASNS1,0.0
ASNTRS,0.0
ASNTRSm,0.0
ASNt2m,0.0
ASNt2r,0.0
ASP1DC,0.0
ICDHxm,0.0
ASPGLUtp,0.0
ICDHym,0.0
ASPTA,-4.595958188153293
ASPTAm,0.0
ASPTAp,0.0
ASPTRS,0.0
ASPTRSm,0.0
ASPt2m,0.0
ATPCitL,0.0
ASPt2r,0.0
ATP2tp_H,0.0
ATPATF1,0.0
ATPATF2,0.0
ATPATF3,0.0
ATPM,5.03
ATPPRT,0.0
ADSK,0.0
ATPS3g,0.0
BPNT,0.0
ATPS3v,0.0
CYSS,0.0
ATPtp_H,0.0
PAPSR,0.0
BTNt2i,0.0
BTSr,0.0
SERATi,0.0
C22STDS,0.0
SLFAT,0.0
SULR,0.0
ACACT1,0.0
ACCOACr,0.0
DESAT16,0.0
DESAT18,0.0
DESAT18_2,0.0
C5STDS,0.0
C8STI,0.0
CAT,0.0
CATp,0.0
CBASPtn,0.0
FAS100COA,0.0
CBPSn,0.0
FAS120COA,0.0
CDPDGPm_SC,0.0
CDPtn,0.0
CERH124,0.0
CERH126,0.0
CERS124,0.0
CERS126,0.0
CERS224,0.0
CERS226,0.0
CERS2_24,0.0
CERS2_26,0.0
CERS324,0.0
CERS326,0.0
CHLPCTD,0.0
FAS140COA,0.0
CHLt2,0.0
CHOLK,0.0
FAS160COA,0.0
FAS180COA,0.0
CHRPL,0.0
CHTNDA,0.0
CHTNS,0.0
CITt2r,0.0
FAS80COA_L,0.0
CITtap,0.0
CITtbm,0.0
CITtcm,0.0
CITtcp,0.0
CLPNSm_SC,0.0
CMPN,0.0
CMPtm,0.0
DHFRi,0.0
CO2tg,0.0
FTHFL,0.0
CO2tn,0.0
CO2tp,0.0
CO2tv,0.0
CPPPGO,0.0
CRNCARtm,0.0
CRNCARtp,0.0
CRNt,0.0
CRNtim,0.0
CRNtp,0.0
CSNAT,0.0
CSNATifm,0.0
CSNATirm,0.0
CSNATirp,0.0
CSND,0.0
CSNt2,0.0
CSp,0.0
CTPS1,0.0
CTPS2,0.0
MAN1PT,0.0
CYSTGL,0.0
CYSTL,0.0
CYSTLp,0.0
CYSTRS,0.0
CYSTS,0.0
CYSTtp,0.0
CYSt2r,0.0
CYTD,0.0
CYTDK2,0.0
CYTDt2,0.0
CYTK1,0.0
CYTK2,0.0
DADK,0.0
DADNt2,0.0
DADPtn,0.0
DAGCPT_SC,0.0
MAN6PI,0.0
DANNt2,0.0
PMANM,0.0
DASYNm_SC,0.0
DB4PS,0.0
DBTSr,0.0
DCDPtn,0.0
DCMPDA,0.0
DCTPD,0.0
DCYTD,0.0
DCYTt2,0.0
GLUDy,4.595958188153293
DDPAm,0.0
DESAT14,0.0
ANS,0.0
GLNS,9.191916376306587
