,2pg_c,cit_e,cit_c,cit_m,f6p_c,glc_D_c,glc_D_e,g6p_c,fum_m,gly_c,gly_m,hom_L_c,asp_L_c,glu_L_c,ser_L_c,ser_L_m,thr_L_c,pi_c,pi_m,succ_m,acon_T_c,acon_T_e,acon_C_c,acon_C_e,acon_C_m,co2_e,itacon_e,pyr_e,h_e,h2o_e,o2_e,q6h2_m,atp_c,nh4_m,mal_L_m,dhap_m,dhor_S_c,fdp_c,fad_m,nadp_c,h2o2_c,dhap_c,mlthf_c,coa_m,pyr_c,aspsa_c,thf_m,nh4_c,fadh2_m,phom_c,sdhlam_m,gln_L_c,3pg_c,nadph_m,mlthf_m,ppi_m,akg_e,akg_m,ac_m,mal_L_e,pep_c,ficyctc_m,o2_c,13dpg_c,hco3_c,succoa_m,glyc3p_m,oaa_c,q6_m,orot_c,focyctc_m,amp_m,h_c,adp_c,co2_m,dhlam_m,Biomass_e,nadh_m,atp_m,nad_c,h2o_m,icit_m,accoa_m,4pasp_c,nadp_m,oaa_m,nadph_c,akg_c,itacon_c,h_m,thf_c,adp_m,acald_c,nadh_c,mal_L_c,h2o_c,lpam_m,co2_c,g3p_c,o2_m,pyr_m,nad_m,ac_c,focytc_m,ficytc_m
Ylypol_F535_R1_mal_01,26258.39928,4972714.438,4972714.438,4972714.438,657955.4471,1334919.501,1334919.501,695688.8398,9330720.577,416903,416903,799727.1456,50331295.76,140314639.6,12228451.71,12228451.71,39031980.55,175154542.9,175154542.9,1464499.359,25189.75055,25189.75055,25189.75055,25189.75055,25189.75055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F535_R2_mal_02,28538.63092,2755359.97,2755359.97,2755359.97,915078.4927,2561607.668,2561607.668,969464.4853,8829969.758,393555,393555,1385894.665,78556139.38,191532542.4,17385729.76,17385729.76,43063341.49,196640425.4,196640425.4,556704.1234,52241.77716,52241.77716,52241.77716,52241.77716,52241.77716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F535_R3_mal_03,21707.63908,4005391.118,4005391.118,4005391.118,654929.0024,1407014.68,1407014.68,654889.1127,6461609.241,460141,460141,890948.0213,43955922.3,129829612.1,12157245.55,12157245.55,38520062.23,151557447.3,151557447.3,1013585.367,14040.32663,14040.32663,14040.32663,14040.32663,14040.32663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F570_R1_mal_04,85252.95099,11741156.85,11741156.85,11741156.85,897463.0193,1661863.294,1661863.294,961205.8546,29232034.47,842322,842322,1351865.154,95677940.54,194553469.5,9564001.622,9564001.622,12397627.21,243310042.4,243310042.4,5314577.263,91816.13291,91816.13291,91816.13291,91816.13291,91816.13291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F570_R2_mal_05,67348.70248,9728966.915,9728966.915,9728966.915,646362.9952,1127950.264,1127950.264,648015.2941,23462901.19,1312447,1312447,846066.1183,74354873.45,173067922.2,10539459.93,10539459.93,12586727.49,213700361.3,213700361.3,3887121.989,87072.02994,87072.02994,87072.02994,87072.02994,87072.02994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F570_R3_mal_06,78112.5688,11951446.58,11951446.58,11951446.58,824251.6333,1435859.89,1435859.89,905842.8457,30687641.08,889944,889944,703971.5011,82663023.57,204321705.6,9381951.24,9381951.24,15717700.53,249632600.5,249632600.5,5483966.806,107445.2358,107445.2358,107445.2358,107445.2358,107445.2358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F580_R1_mal_07,82523.71577,10831130.82,10831130.82,10831130.82,854895.3512,1498570.717,1498570.717,915113.8036,20328058.73,422261,422261,1138072.825,76909776.64,158376828.3,7605336.175,7605336.175,10460068.49,208464622.8,208464622.8,3592069.242,71263.68296,71263.68296,71263.68296,71263.68296,71263.68296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F580_R2_mal_08,79458.99954,12089394.25,12089394.25,12089394.25,802173.0902,1505012.094,1505012.094,992424.3689,28672544.59,665401,665401,958872.191,90166150.7,202277230.4,12508217.37,12508217.37,16598217.12,248306355.4,248306355.4,5966494.698,71225.2372,71225.2372,71225.2372,71225.2372,71225.2372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F580_R3_mal_09,63393.19511,8366171.35,8366171.35,8366171.35,590887.9607,1017359.179,1017359.179,606411.6546,18073938.14,125846,125846,576720.5467,62021174.19,149734292.3,8952660.321,8952660.321,11623791.66,195392038.9,195392038.9,3280337.926,22888.0674,22888.0674,22888.0674,22888.0674,22888.0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F584_R1_mal_10,125561.8294,14746826.06,14746826.06,14746826.06,721679.6788,1511072.325,1511072.325,775165.0343,49092082.2,2112445,2112445,1122472.887,86038241.32,193089635.9,14339458.1,14339458.1,19556859.79,241154705.3,241154705.3,7288119.503,88831.41767,88831.41767,88831.41767,88831.41767,88831.41767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F584_R2_mal_11,169580.5863,16653112.6,16653112.6,16653112.6,858856.4021,1297783.035,1297783.035,876709.2919,38545773.02,264195,264195,1001162.558,67777230.63,201959280.6,13140837.91,13140837.91,15406151.81,221893620.6,221893620.6,5652031.343,193961.7544,193961.7544,193961.7544,193961.7544,193961.7544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ylypol_F584_R3_mal_12,83986.48221,10225757.7,10225757.7,10225757.7,449168.1018,955152.977,955152.977,415152.8056,43045730.58,136153,136153,930902.5969,88742558.87,171854607.6,12145083.63,12145083.63,15131670.05,214533175.7,214533175.7,5876490.159,20272.68104,20272.68104,20272.68104,20272.68104,20272.68104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
