Enzymes,NADH2_u6cm,NADH2_u6m,HEX1,CAT,ASPTA,CITtam,THRS,PDHm,GLUDy,HSK,PGI,GLYCLm,TPI,FBA,EX_glc_D_e,GLCt1,GHMT2r,GHMT2rm,ACONTam,MDH,SERD_L,CSm,MDHm,ACONTa,PGM,ASADi,GLNS,ASPKi,HSDxi,PC,PPAm,ALDD2y,GLUSx,G3PDm,THRA
Ylypol_glu_F535_R2_14,0.102779042,0.102779042,0.016481744,0.000901206,0.000434009,0.006884146,0.005294578,0.096804959,0.001257919,0.001103179,0.000168615,0.000418679,0.001727498,0.000282915,0.0029966,0.0029966,0.003687684,0.003687684,0.076326445,0.002279576,0.004257731,0.002126453,0.002871183,0.001413427,0.002977432,0.293682425,0.032430438,0.06587418,4.58E-05,0.01021829,0.001687272,0.011823269,0.016173349,0.052846609,0.028748821
Ylypol_F535_R2_mal_02,0.103246948,0.103246948,0.015101398,0.000733733,0.000987757,0.007328942,0.002746458,0.095473724,0.000922988,0.001350855,0.000218464,0.000346937,0.004019553,0.001042535,0.004331167,0.004331167,0.001220939,0.001220939,0.056737204,0.002565572,0.001648777,0.001041451,0.004117756,0.000181801,0.002394659,0.286994113,0.023516278,0.065194135,,0.009152692,0.000360921,0.018132914,0.01138273,0.037062611,0.030109134
Ylypol_glu_F535_R3_15,0.09895984,0.09895984,0.016175728,0.000530681,0.000274802,0.009421748,0.005929666,0.087065698,0.000681592,0.000784144,0.000152098,0.00066481,0.002074727,0.000670705,0.003835188,0.003835188,0.003818335,0.003818335,0.077001047,0.002682742,0.002669075,0.001405644,0.003521059,0.001206007,0.005345398,0.297964874,0.028955186,0.067988393,7.55E-05,0.009322843,0.000660304,0.013791697,0.017108166,0.052787885,0.028180922
Ylypol_F535_R3_mal_03,0.102211826,0.102211826,0.014611793,0.000890019,0.001022497,0.006968885,0.002534062,0.094783392,0.001547234,0.001371765,0.000204569,0.000474453,0.003742806,0.000917622,0.004619975,0.004619975,0.002176662,0.002176662,0.055498752,0.003074876,0.003614611,0.00133913,0.003893322,0.000427143,0.002853288,0.292913773,0.020026986,0.070608766,,0.009844704,0.00030462,0.017319634,0.010370034,0.041450602,0.030467533
Ylypol_glu_F535_R1_13,0.098473405,0.098473405,0.015071784,0.000515333,0.000367613,0.007991632,0.004106055,0.099904909,0.000787902,0.001271065,0.000223496,0.000500857,0.0015126,0.000244325,0.002833243,0.002833243,0.003163061,0.003163061,0.071295514,0.002653628,0.005203112,0.001339996,0.00368143,0.000986019,0.004006742,0.339631222,0.026243941,0.056171269,5.26E-05,0.011402915,,0.020526909,0.015453824,0.048603329,0.029387549
Ylypol_F535_R1_mal_01,0.096923666,0.096923666,0.014322599,0.000636646,0.001514631,0.008983506,0.00222724,0.097888435,0.00093298,0.001300325,9.32E-05,0.00065669,0.004594906,0.000795529,0.004606223,0.004606223,0.001974027,0.001974027,0.052181474,0.003138456,0.004184736,0.001208506,0.003886468,0.000281386,0.001961224,0.280536342,0.024734072,0.059408167,5.83E-05,0.007485726,0.000183057,0.014957033,0.016487867,0.034909037,0.034166019
Ylypol_glu_F570_R1_16,0.09289641,0.09289641,0.020427306,0.001158872,0.000211735,0.01024842,0.007098757,0.080850389,0.000911698,0.001571682,0.000214288,0.000912101,0.002934465,0.000375707,0.00340966,0.00340966,0.003876397,0.003876397,0.07567575,0.003635457,0.003016343,0.001783033,0.004924102,0.00018981,0.004912531,0.277623633,0.031692223,0.076486583,,0.010365535,0.000326807,0.016650074,0.017105399,0.055498373,0.027529025
Ylypol_F570_R1_mal_04,0.116799768,0.116799768,0.014946267,0.000507363,0.000898645,0.008147161,0.003987924,0.080827214,0.000975629,0.001704958,,0.000288995,0.002267729,0.000165845,0.005990588,0.005990588,0.003738888,0.003738888,0.070577571,0.003027806,0.003690004,0.001640196,0.003760695,0.000835929,0.002802371,0.271732312,0.027093738,0.083237378,4.28E-05,0.0101363,,0.01303408,0.014692349,0.041989742,0.0283211
Ylypol_glu_F570_R2_17,0.087140807,0.087140807,0.021716015,0.000664379,0.00032803,0.007425182,0.009223359,0.074213901,0.000679315,0.001511458,4.26E-05,0.000468934,0.002569032,0.000290645,0.006286688,0.006286688,0.003452888,0.003452888,0.089964395,0.004760864,0.00268943,0.001797525,0.006401844,0.001971354,0.003443975,0.236556564,0.031450657,0.066715109,5.76E-05,0.007317681,,0.012946183,0.016968318,0.053876272,0.024662486
Ylypol_F570_R2_mal_05,0.106031852,0.106031852,0.01482632,0.000866741,0.000380609,0.009099597,0.004435304,0.082260654,0.0013961,0.001570608,0.000284558,0.000563083,0.0039305,0.000100791,0.00565962,0.00565962,0.003347866,0.003347866,0.058224764,0.00315027,0.003220386,0.001315303,0.004840271,0.001456204,0.00289531,0.265179787,0.021352592,0.062308089,3.50E-05,0.009407929,0.000177051,0.018196172,0.016781666,0.04423507,0.008529693
